"Name","Population","Home Value Growth (YoY)","Home Value","Price Cut %","Days on Market"
"Sullivan, MO","5,903","-13.5%","$92,004","26.6%","82"
"Hickory, MO","8,501","2.9%","$190,059","15.0%","50"
"Wayne, MO","10,942","4.6%","$125,189","13.5%","59"
"Wayne, UT","2,557","1.4%","$421,034","0.0%","90"
"Wayne, IA","6,518","5.6%","$128,451","9.3%","61"
"Daviess, MO","8,449","7.7%","$259,769","17.0%","52"
"Bates, MO","16,121","6.3%","$219,646","27.5%","75"
"Worth, MO","1,956","-","-","0.0%","33"
"Gentry, MO","6,224","4.9%","$119,580","22.2%","77"
"Independence, AR","38,120","3.4%","$165,483","15.5%","61"
"Texas, OK","20,880","2.7%","$161,297","7.0%","57"
"Texas, MO","24,956","4.1%","$199,246","11.5%","74"
"Searcy, AR","7,861","-3.4%","$167,379","15.3%","95"
"Christian, MO","94,422","3.2%","$309,939","21.2%","44"
"Tensas, LA","3,992","-14.7%","$140,886","0.0%","106"
"Bradley, AR","10,354","-7.9%","$105,860","12.1%","96"
"St. Martin, LA","51,559","-0.2%","$164,820","24.8%","88"
"West Baton Rouge, LA","27,666","2.8%","$244,558","14.8%","55"
"West Feliciana, LA","15,381","7.4%","$380,345","26.6%","71"
"Chambers, TX","49,178","2.4%","$345,063","22.9%","42"
"McPherson, KS","30,130","5.0%","$215,940","24.2%","41"
"Barton, MO","11,685","4.3%","$178,067","7.6%","50"
"Barton, KS","25,275","2.0%","$111,875","20.0%","60"
"Wagoner, OK","89,280","3.3%","$277,312","21.6%","53"
"Chautauqua, KS","3,370","5.1%","$87,548","25.0%","81"
"Payne, OK","83,352","3.1%","$229,579","14.7%","44"
"Comanche, TX","13,786","2.2%","$221,564","20.1%","78"
"Comanche, OK","121,574","2.4%","$147,381","11.2%","50"
"Comanche, KS","1,685","11.9%","$82,955","0.0%","211"
"Smith, KS","3,579","13.1%","$98,089","0.0%","102"
"Smith, TX","245,209","0.6%","$277,984","27.0%","55"
"Lamar, TX","50,421","1.7%","$196,779","29.4%","62"
"Leon, TX","16,067","1.3%","$312,570","18.1%","72"
"Young, TX","17,963","-0.6%","$176,772","23.8%","77"
"Callahan, TX","14,017","5.3%","$209,436","15.7%","50"
"Matagorda, TX","36,274","2.7%","$207,784","23.8%","75"
"Wharton, TX","41,651","1.0%","$239,218","21.4%","70"
"Bastrop, TX","110,778","-1.2%","$374,220","23.6%","60"
"Bee, TX","31,000","0.9%","$167,799","27.3%","65"
"Jim Wells, TX","38,863","-1.7%","$145,344","9.3%","89"
"McMullen, TX","623","-","-","0.0%","212"
"Llano, TX","22,011","-0.9%","$480,173","23.8%","73"
"Medina, TX","52,419","1.7%","$331,387","27.5%","64"
"Willacy, TX","20,218","-3.7%","$127,517","14.5%","151"
"Kenedy, TX","52","-","-","0.0%","186"
"Hodgeman, KS","1,676","11.3%","$145,380","0.0%","12"
"Gosper, NE","1,929","6.6%","$317,668","28.5%","77"
"Gove, KS","2,796","5.7%","$132,150","0.0%","77"
"Red Willow, NE","10,611","3.2%","$172,143","20.3%","52"
"Dundy, NE","1,811","3.3%","$188,620","28.5%","52"
"Kit Carson, CO","7,015","6.8%","$229,094","0.0%","58"
"Harper, KS","5,446","6.1%","$87,323","11.4%","94"
"Harper, OK","3,231","8.1%","$76,969","0.0%","67"
"Beckham, OK","22,202","6.2%","$142,551","14.7%","66"
"Harmon, OK","2,452","11.3%","$60,115","0.0%","77"
"Cimarron, OK","2,247","4.1%","$79,024","0.0%","100"
"Hartley, TX","5,307","4.0%","$257,239","16.0%","165"
"Deaf Smith, TX","18,487","3.3%","$174,638","15.3%","71"
"Martin, TX","5,230","0.9%","$234,132","0.0%","60"
"Upton, TX","3,227","7.9%","$107,690","36.3%","149"
"Yoakum, TX","7,589","-1.2%","$193,831","0.0%","69"
"Bailey, TX","7,044","3.0%","$146,465","0.0%","38"
"Winkler, TX","7,540","3.8%","$122,526","30.7%","81"
"Kimble, TX","4,355","3.1%","$324,974","14.8%","95"
"Gilpin, CO","5,877","1.8%","$567,339","32.0%","30"
"Saguache, CO","6,511","9.6%","$220,620","25.9%","77"
"Harding, NM","748","-","-","0.0%","204"
"Colfax, NM","12,336","2.1%","$249,636","11.4%","87"
"Guadalupe, TX","188,454","-3.1%","$313,070","33.1%","50"
"Guadalupe, NM","4,379","-","-","0.0%","168"
"Taos, NM","34,516","-5.1%","$453,283","15.3%","79"
"Santa Fe, NM","155,956","0.3%","$560,793","21.8%","57"
"Sandoval, NM","155,936","2.3%","$373,030","31.0%","57"
"Eddy, NM","61,114","4.3%","$231,838","15.1%","64"
"Utah, UT","719,174","1.5%","$552,420","32.9%","50"
"Pinal, AZ","484,239","-2.3%","$376,597","33.9%","64"
"McDonough, IL","27,102","-2.3%","$98,821","13.6%","74"
"Poinsett, AR","22,740","-5.8%","$116,544","17.2%","52"
"Iron, MO","9,482","5.6%","$144,900","16.0%","71"
"Orleans, LA","364,136","-3.6%","$244,868","21.9%","68"
"East Feliciana, LA","19,378","0.6%","$207,577","9.5%","68"
"Hancock, IL","17,434","-0.6%","$108,224","27.2%","91"
"Henry, MO","22,194","6.4%","$215,522","23.6%","67"
"Cole, MO","77,278","4.2%","$268,189","16.0%","39"
"Cooper, MO","16,835","3.8%","$236,964","29.0%","44"
"Putnam, MO","4,675","6.3%","$189,997","9.3%","73"
"Mercer, MO","3,501","4.4%","$128,821","19.0%","55"
"Caldwell, LA","9,563","5.3%","$124,988","0.0%","86"
"Caldwell, TX","47,184","-2.9%","$302,534","27.5%","71"
"Caldwell, MO","8,890","7.8%","$236,590","15.6%","67"
"Andrew, MO","18,086","8.2%","$284,692","24.2%","49"
"Leavenworth, KS","83,518","4.3%","$335,387","21.8%","47"
"Page, IA","15,168","1.9%","$140,618","18.8%","55"
"Shannon, MO","7,137","6.8%","$170,643","11.7%","67"
"Oregon, MO","8,704","4.7%","$162,338","10.0%","73"
"Douglas, CO","383,906","-0.3%","$741,724","38.5%","36"
"Douglas, KS","120,553","5.2%","$330,169","14.0%","32"
"Douglas, MO","11,850","4.5%","$233,991","9.5%","63"
"Ozark, MO","8,773","6.2%","$211,249","17.2%","100"
"Baxter, AR","42,150","3.2%","$233,014","28.2%","67"
"Wright, MO","18,722","7.0%","$204,385","15.7%","59"
"Garland, AR","99,784","1.7%","$246,858","23.5%","60"
"Vernon, LA","47,764","4.1%","$161,112","16.4%","69"
"Vernon, MO","19,713","5.4%","$170,155","19.0%","57"
"McDonald, MO","23,492","5.1%","$219,455","25.8%","64"
"Craig, OK","14,215","5.7%","$185,980","23.1%","53"
"Neosho, KS","15,715","-2.1%","$102,168","14.0%","72"
"Arkansas, AR","16,773","3.0%","$122,976","9.3%","89"
"Wilkinson, MS","8,376","4.0%","$113,140","0.0%","28"
"Catahoula, LA","8,738","-1.3%","$102,806","44.4%","128"
"Claiborne, MS","8,908","7.1%","$100,801","0.0%","78"
"Claiborne, LA","14,019","-21.5%","$76,643","21.6%","85"
"Titus, TX","31,284","-1.1%","$236,471","30.6%","71"
"St. Mary, LA","48,455","0.7%","$124,270","30.1%","101"
"Lafayette, MO","32,974","8.2%","$232,435","27.3%","45"
"Lafayette, AR","6,211","-5.2%","$91,909","22.2%","154"
"Lafayette, LA","249,750","-2.5%","$232,631","24.4%","69"
"Evangeline, LA","32,162","-1.3%","$115,362","30.7%","69"
"Liberty, TX","108,272","-0.4%","$235,357","29.3%","58"
"San Jacinto, TX","27,983","5.4%","$243,822","26.6%","64"
"Cass, IL","12,826","6.3%","$96,252","13.3%","46"
"Cass, TX","28,582","-2.4%","$155,509","22.2%","73"
"Cass, MO","111,732","2.9%","$325,234","18.5%","50"
"Pottawatomie, OK","73,791","3.8%","$187,836","27.9%","51"
"Pottawatomie, KS","25,808","5.0%","$311,550","14.0%","33"
"Marshall, OK","15,628","-0.2%","$194,166","15.1%","70"
"Marshall, KS","10,001","4.4%","$138,350","18.1%","87"
"Ellsworth, KS","6,366","9.2%","$121,995","16.0%","77"
"Mitchell, TX","8,989","-2.4%","$98,623","11.7%","110"
"Mitchell, KS","5,767","9.6%","$138,423","21.0%","64"
"Edwards, TX","1,392","-","-","0.0%","179"
"Edwards, KS","2,817","11.5%","$79,317","0.0%","112"
"Rush, KS","2,957","6.7%","$78,704","20.0%","92"
"McIntosh, OK","19,237","1.2%","$182,374","19.7%","66"
"Pittsburg, OK","43,629","3.1%","$142,087","21.3%","62"
"Cowley, KS","34,487","5.6%","$120,788","14.3%","50"
"Kay, OK","43,731","2.2%","$107,529","27.4%","45"
"Dewey, OK","4,433","4.2%","$124,332","0.0%","53"
"Woodward, OK","20,260","1.0%","$132,737","19.4%","75"
"Pushmataha, OK","10,787","6.7%","$140,871","8.7%","85"
"Houston, TX","22,042","-2.2%","$208,745","6.0%","70"
"Wood, TX","46,094","2.6%","$273,890","31.3%","64"
"Hunt, TX","113,347","-1.4%","$284,367","31.2%","62"
"Kaufman, TX","185,690","-3.4%","$313,890","34.3%","54"
"Tarrant, TX","2,182,947","-2.0%","$332,551","34.0%","44"
"Bosque, TX","18,546","2.0%","$233,804","26.4%","48"
"Erath, TX","43,244","2.8%","$337,644","22.1%","60"
"Brazoria, TX","398,938","1.1%","$327,258","23.0%","45"
"Milam, TX","25,268","0.3%","$267,014","26.3%","86"
"DeWitt, TX","19,853","-2.3%","$229,812","14.8%","69"
"Nueces, TX","352,289","-1.7%","$227,109","24.9%","68"
"Karnes, TX","14,819","-1.3%","$210,862","11.1%","97"
"Atascosa, TX","50,058","-1.8%","$246,554","27.7%","66"
"Cameron, LA","5,222","-3.1%","$211,148","15.0%","114"
"Cameron, TX","426,710","0.2%","$200,008","18.5%","79"
"Zapata, TX","13,855","-3.1%","$128,086","22.2%","113"
"Hitchcock, NE","2,601","2.9%","$143,891","21.0%","102"
"Kiowa, OK","8,458","-3.8%","$66,213","7.4%","69"
"Kiowa, KS","2,422","3.6%","$144,869","0.0%","86"
"Kiowa, CO","1,356","-3.1%","$163,845","0.0%","72"
"Cottle, TX","1,302","-6.3%","$73,860","0.0%","102"
"Tom Green, TX","119,057","1.4%","$244,151","21.3%","51"
"Nolan, TX","14,565","-6.6%","$115,080","8.2%","84"
"Sterling, TX","1,389","3.2%","$163,564","0.0%","34"
"Crosby, TX","5,072","6.1%","$84,042","19.0%","65"
"Lubbock, TX","320,940","-2.3%","$211,164","20.3%","44"
"Lea, NM","72,101","0.2%","$192,791","8.6%","61"
"Dimmit, TX","8,507","-8.2%","$117,905","14.8%","145"
"Menard, TX","1,964","2.0%","$190,293","0.0%","145"
"Val Verde, TX","47,647","2.5%","$210,894","17.5%","82"
"Teller, CO","24,774","1.1%","$499,343","31.6%","53"
"Bernalillo, NM","671,586","2.7%","$345,904","30.1%","54"
"Hudspeth, TX","3,331","-","-","0.0%","94"
"Montrose, CO","43,272","3.9%","$445,720","18.1%","66"
"Emery, UT","9,968","9.5%","$283,460","16.6%","73"
"Wasatch, UT","35,808","0.9%","$971,978","13.0%","66"
"Sanpete, UT","29,209","1.7%","$368,935","22.5%","72"
"Catron, NM","3,685","-0.9%","$201,356","9.5%","70"
"Garfield, CO","62,034","3.8%","$695,458","17.6%","59"
"Garfield, OK","62,322","3.6%","$135,729","32.9%","57"
"Randolph, AR","18,733","-3.5%","$134,192","10.8%","75"
"Randolph, MO","24,524","4.4%","$168,414","19.0%","49"
"Randolph, IL","30,142","-0.4%","$144,795","23.1%","52"
"Fulton, AR","12,239","6.5%","$193,538","12.9%","73"
"Fulton, IL","33,259","-3.6%","$102,738","29.6%","54"
"Tipton, TN","61,339","1.2%","$267,249","22.6%","46"
"Craighead, AR","113,993","-0.5%","$211,958","20.3%","61"
"Ripley, MO","10,755","3.3%","$141,824","21.4%","72"
"Lawrence, AR","16,265","7.1%","$124,740","11.4%","57"
"Lawrence, MO","38,392","5.3%","$199,372","20.4%","50"
"Lawrence, MS","11,883","-4.9%","$112,145","0.0%","78"
"Hinds, MS","214,870","7.2%","$124,150","23.9%","69"
"Copiah, MS","27,994","5.7%","$125,930","15.3%","122"
"St. Helena, LA","10,849","0.3%","$170,692","0.0%","57"
"Ascension, LA","131,632","2.0%","$303,279","21.9%","62"
"East Baton Rouge, LA","448,467","0.4%","$231,282","22.7%","64"
"Pike, MS","39,930","5.5%","$100,402","11.1%","63"
"Pike, AR","10,182","3.8%","$183,254","20.3%","88"
"Pike, IL","14,625","10.3%","$107,993","12.6%","74"
"Pike, MO","17,623","6.9%","$195,464","22.2%","45"
"Monroe, IL","34,969","5.5%","$324,174","17.6%","40"
"Monroe, AR","6,681","-4.4%","$91,390","0.0%","100"
"Monroe, MO","8,672","6.8%","$196,062","23.5%","47"
"Camden, MO","43,416","0.3%","$329,767","29.6%","58"
"Livingston, LA","150,145","1.2%","$249,636","22.4%","64"
"Livingston, MO","14,330","7.2%","$181,182","8.3%","58"
"St. Clair, IL","251,018","1.5%","$174,186","15.7%","41"
"St. Clair, MO","9,451","4.9%","$200,307","11.4%","67"
"Wyandotte, KS","165,281","2.9%","$203,430","24.5%","39"
"Doniphan, KS","7,492","9.5%","$147,318","40.0%","70"
"White, AR","78,452","4.2%","$202,288","19.5%","46"
"Howell, MO","40,168","5.3%","$224,914","15.9%","80"
"Webster, NE","3,385","3.2%","$132,068","0.0%","18"
"Webster, LA","36,189","-6.9%","$119,984","24.5%","58"
"Webster, MO","39,868","1.5%","$260,142","21.6%","43"
"Newton, TX","12,193","-2.5%","$142,214","10.5%","105"
"Newton, MO","59,490","7.2%","$240,092","33.0%","44"
"Newton, AR","7,175","7.2%","$234,017","12.9%","81"
"Stone, AR","12,474","0.5%","$188,509","14.0%","66"
"Stone, MO","31,697","-0.7%","$332,222","25.3%","72"
"Montgomery, MO","11,422","4.0%","$209,074","25.0%","72"
"Montgomery, KS","31,143","4.8%","$90,510","22.6%","58"
"Montgomery, TX","711,354","-0.0%","$357,504","26.7%","43"
"Montgomery, AR","8,571","10.7%","$203,205","6.4%","87"
"Cedar, MO","14,440","5.2%","$207,069","19.5%","45"
"Crawford, MO","22,890","3.2%","$211,801","19.2%","56"
"Crawford, KS","38,963","6.7%","$135,148","18.1%","53"
"Crawford, AR","60,792","5.0%","$208,487","33.6%","59"
"Ouachita, AR","22,317","-8.8%","$89,499","14.8%","94"
"Ouachita, LA","157,568","2.9%","$172,854","24.6%","58"
"Winn, LA","13,506","-7.0%","$107,430","0.0%","51"
"Sevier, AR","15,797","5.8%","$160,918","17.3%","51"
"San Augustine, TX","7,889","-4.9%","$175,277","22.2%","65"
"Bowie, TX","91,687","-4.1%","$188,816","21.9%","71"
"Nacogdoches, TX","65,375","1.5%","$225,568","21.6%","64"
"Gregg, TX","126,243","2.3%","$216,789","24.3%","55"
"Upshur, TX","41,864","2.6%","$238,977","33.4%","78"
"Calcasieu, LA","203,761","-2.1%","$195,250","21.3%","79"
"Tyler, TX","20,084","-0.3%","$161,855","19.0%","83"
"Galveston, TX","361,744","-1.2%","$328,664","25.1%","59"
"Richardson, NE","7,797","-3.2%","$107,328","0.0%","81"
"Mills, TX","4,499","6.0%","$364,949","10.8%","78"
"Riley, KS","71,402","5.9%","$262,265","20.5%","40"
"Rice, KS","9,389","-2.9%","$100,512","20.0%","38"
"Franklin, KS","25,994","5.8%","$244,917","29.6%","34"
"Franklin, TX","10,522","2.1%","$310,449","25.7%","71"
"Franklin, MS","7,655","0.7%","$153,592","21.0%","86"
"Franklin, MO","106,404","3.8%","$257,193","13.9%","51"
"Franklin, AR","17,220","1.3%","$169,791","26.9%","61"
"Franklin, LA","19,590","0.0%","$110,038","26.0%","67"
"Franklin, NE","2,868","7.6%","$133,502","0.0%","34"
"Ellis, TX","222,829","-0.8%","$376,630","31.8%","51"
"Ellis, OK","3,717","-2.9%","$99,156","0.0%","35"
"Ellis, KS","28,870","6.8%","$235,674","18.3%","47"
"Muskogee, OK","66,677","5.7%","$152,348","21.4%","50"
"Coal, OK","5,275","9.7%","$123,356","26.6%","109"
"Seminole, OK","23,550","3.9%","$111,307","10.9%","71"
"Oklahoma, OK","808,866","0.2%","$221,638","28.7%","39"
"Major, OK","7,656","2.0%","$154,362","26.6%","67"
"Alfalfa, OK","5,685","-3.3%","$85,418","0.0%","139"
"Washita, OK","10,857","0.2%","$102,755","12.9%","171"
"Custer, CO","5,073","5.1%","$411,473","13.9%","89"
"Custer, OK","28,332","6.7%","$171,861","18.3%","61"
"Henderson, TX","86,158","1.6%","$278,919","25.8%","71"
"Falls, TX","17,063","-4.1%","$148,873","25.0%","40"
"Love, OK","10,196","1.4%","$188,911","26.0%","85"
"Somervell, TX","9,510","1.7%","$413,004","10.5%","67"
"Shackelford, TX","3,169","-5.5%","$157,771","0.0%","93"
"Brazos, TX","244,703","0.4%","$313,857","21.1%","57"
"Colorado, TX","20,736","5.2%","$289,994","23.5%","69"
"Victoria, TX","91,664","0.7%","$216,208","29.2%","57"
"Refugio, TX","6,693","0.1%","$148,151","8.5%","92"
"San Patricio, TX","70,660","-3.6%","$205,227","21.8%","77"
"Kleberg, TX","30,629","0.3%","$147,669","23.3%","60"
"Hays, TX","280,486","-5.0%","$396,610","33.4%","50"
"Wilson, KS","8,559","5.4%","$98,346","24.4%","70"
"Wilson, TX","51,501","1.4%","$409,161","34.8%","73"
"Bexar, TX","2,087,679","-2.9%","$264,971","30.8%","55"
"Bandera, TX","21,589","0.1%","$355,482","22.2%","79"
"Scott, AR","9,839","4.2%","$144,194","16.0%","88"
"Scott, IL","4,847","-5.8%","$87,062","0.0%","81"
"Scott, KS","5,071","7.7%","$173,319","0.0%","28"
"Thomas, KS","7,913","7.8%","$174,795","0.0%","53"
"Rawlins, KS","2,533","7.4%","$122,836","0.0%","70"
"Cheyenne, CO","1,732","6.4%","$184,027","0.0%","240"
"Cheyenne, KS","2,628","13.9%","$154,983","20.0%","163"
"Yuma, CO","9,921","2.9%","$265,020","0.0%","84"
"Greer, OK","5,498","-6.6%","$69,795","17.0%","100"
"Briscoe, TX","1,223","-8.5%","$150,277","0.0%","111"
"Bent, CO","5,524","-11.3%","$128,393","0.0%","79"
"Curry, NM","47,932","0.4%","$163,739","22.3%","51"
"Taylor, IA","5,901","7.2%","$126,812","22.8%","124"
"Taylor, TX","146,836","-0.2%","$203,695","21.6%","52"
"Runnels, TX","9,880","-4.0%","$141,773","14.2%","92"
"Motley, TX","1,267","7.6%","$113,927","0.0%","17"
"Irion, TX","1,432","4.6%","$260,413","133.3%","28"
"Floyd, TX","5,294","-2.4%","$92,004","21.0%","115"
"Midland, TX","177,108","4.8%","$327,041","43.8%","40"
"Terry, TX","11,699","0.7%","$130,805","18.6%","74"
"Ward, TX","11,255","-2.5%","$162,110","25.5%","76"
"Roosevelt, NM","19,002","-0.6%","$148,966","17.9%","104"
"Zavala, TX","9,532","-1.0%","$91,691","0.0%","68"
"Pecos, TX","14,983","-8.4%","$163,073","28.5%","79"
"Brewster, TX","9,464","2.7%","$213,747","17.2%","85"
"Arapahoe, CO","656,061","-1.4%","$546,539","39.9%","37"
"Chaffee, CO","19,876","2.4%","$690,825","18.4%","53"
"Gunnison, CO","17,158","-0.0%","$696,757","7.9%","73"
"Pitkin, CO","17,119","5.8%","$2,507,884","2.4%","122"
"Huerfano, CO","6,946","0.7%","$274,717","9.5%","80"
"Rio Arriba, NM","40,165","5.2%","$337,150","17.0%","108"
"Mineral, CO","799","6.4%","$430,517","21.0%","40"
"Otero, CO","18,460","6.3%","$162,309","24.2%","82"
"Otero, NM","68,835","9.5%","$234,035","13.3%","66"
"Socorro, NM","16,308","0.0%","$190,057","9.0%","91"
"Sierra, NM","11,511","1.0%","$173,318","11.5%","61"
"Culberson, TX","2,181","11.9%","$148,775","0.0%","64"
"San Juan, CO","690","-3.3%","$535,978","0.0%","59"
"San Juan, UT","14,466","1.6%","$356,623","17.0%","100"
"San Juan, NM","120,675","4.1%","$258,367","20.8%","51"
"Luna, NM","25,420","1.4%","$157,236","22.7%","81"
"Apache, AZ","65,036","-1.1%","$300,276","17.0%","85"
"Mason, TX","3,951","9.0%","$343,025","10.2%","111"
"Mason, IL","12,878","-3.0%","$92,582","21.0%","47"
"Knox, TX","3,322","-1.2%","$87,559","21.6%","107"
"Knox, MO","3,760","1.7%","$157,262","0.0%","41"
"Brown, KS","9,415","9.5%","$142,426","17.7%","41"
"Brown, TX","38,294","2.3%","$183,733","20.5%","60"
"Brown, IL","6,320","0.5%","$154,807","12.5%","56"
"Perry, AR","10,073","6.3%","$168,883","11.7%","70"
"Perry, MO","18,947","5.1%","$215,748","25.5%","74"
"DeSoto, MS","193,247","-0.4%","$300,533","23.8%","64"
"Crittenden, AR","47,609","-1.9%","$154,275","13.7%","55"
"St. Francis, AR","22,740","-0.0%","$77,410","8.6%","61"
"Reynolds, MO","6,058","5.2%","$163,909","17.3%","71"
"Carroll, MO","8,459","5.6%","$155,750","0.0%","74"
"Carroll, AR","28,526","3.9%","$262,423","18.8%","68"
"Carroll, MS","9,828","1.4%","$178,938","18.1%","80"
"Holmes, MS","16,491","13.1%","$73,081","0.0%","67"
"Walthall, MS","13,864","-1.1%","$150,004","14.2%","117"
"Coahoma, MS","20,808","1.2%","$57,849","9.7%","93"
"Sunflower, MS","25,328","-0.0%","$95,519","8.1%","94"
"St. Tammany, LA","275,583","0.7%","$286,845","28.8%","60"
"St. John the Baptist, LA","41,342","2.0%","$204,840","19.0%","68"
"Assumption, LA","20,720","1.2%","$169,918","17.3%","53"
"Adams, MS","29,098","6.9%","$116,684","10.0%","79"
"Adams, CO","533,365","-1.2%","$508,116","37.6%","42"
"Adams, NE","31,034","3.4%","$208,380","16.6%","39"
"Adams, IL","65,166","-2.8%","$180,961","19.8%","47"
"Lee, AR","8,511","-1.4%","$93,987","0.0%","80"
"Lee, TX","17,758","2.4%","$352,651","26.3%","73"
"Lee, IA","33,175","0.6%","$116,575","16.8%","51"
"Gasconade, MO","14,774","8.4%","$216,374","17.3%","67"
"Audrain, MO","24,688","5.1%","$167,905","18.4%","41"
"Osage, KS","15,780","6.5%","$203,030","25.8%","57"
"Osage, OK","45,963","1.6%","$203,359","27.5%","56"
"Osage, MO","13,379","6.0%","$261,654","15.3%","31"
"Scotland, MO","4,698","-6.1%","$120,428","0.0%","90"
"Moniteau, MO","15,303","6.3%","$227,526","31.5%","45"
"Howard, TX","33,127","-14.0%","$147,835","21.6%","79"
"Howard, AR","12,701","6.0%","$155,768","15.6%","95"
"Howard, MO","10,141","7.2%","$225,193","41.3%","78"
"Linn, KS","9,723","2.9%","$148,187","31.5%","54"
"Linn, MO","11,850","3.6%","$130,910","22.6%","75"
"Harrison, TX","70,895","3.3%","$209,753","27.3%","65"
"Harrison, MO","8,198","7.9%","$120,240","0.0%","158"
"Ringgold, IA","4,664","3.2%","$165,625","10.0%","76"
"Platte, MO","111,940","2.1%","$386,173","18.1%","50"
"Dent, MO","14,506","2.2%","$182,521","26.9%","74"
"Prairie, AR","8,162","3.5%","$148,278","0.0%","85"
"Lonoke, AR","75,944","2.5%","$228,375","26.5%","50"
"Taney, MO","56,382","-2.6%","$258,517","26.3%","68"
"Sebastian, AR","129,098","2.9%","$198,311","30.3%","56"
"Sequoyah, OK","39,676","4.7%","$182,906","24.3%","60"
"Bourbon, KS","14,384","5.0%","$127,708","13.1%","42"
"Latimer, OK","9,495","-0.2%","$133,878","12.9%","59"
"Labette, KS","19,949","3.4%","$89,437","13.3%","63"
"Desha, AR","11,041","-9.5%","$89,746","34.7%","93"
"Chicot, AR","9,997","-6.7%","$93,086","0.0%","148"
"Union, LA","20,914","0.2%","$150,219","25.0%","75"
"Union, NM","4,039","4.3%","$124,192","0.0%","109"
"Union, AR","38,368","-4.1%","$122,169","12.3%","65"
"Dallas, TX","2,606,358","-3.0%","$320,162","35.1%","45"
"Dallas, MO","17,344","1.8%","$230,308","24.3%","66"
"Dallas, AR","6,351","-6.3%","$93,453","0.0%","137"
"Hot Spring, AR","33,142","-1.1%","$159,286","20.5%","56"
"Red River, TX","11,621","-3.7%","$165,501","19.6%","68"
"Red River, LA","7,529","4.6%","$139,758","57.1%","98"
"Caddo, OK","26,626","2.4%","$94,580","22.6%","74"
"Caddo, LA","226,386","1.5%","$139,151","25.3%","68"
"Iberville, LA","29,950","1.5%","$174,033","27.4%","61"
"Jefferson Davis, LA","32,083","1.9%","$140,534","25.2%","62"
"Beauregard, LA","36,646","6.4%","$165,906","18.7%","80"
"Orange, TX","85,722","2.4%","$179,812","18.1%","75"
"Hardin, TX","57,126","0.4%","$219,923","28.2%","60"
"Nemaha, NE","7,035","5.3%","$165,033","0.0%","51"
"Nemaha, KS","10,213","6.9%","$213,364","28.5%","25"
"Reno, KS","61,693","4.3%","$146,061","23.6%","42"
"Hall, TX","2,827","-9.3%","$69,036","0.0%","153"
"McClain, OK","43,779","1.9%","$287,872","33.6%","46"
"Sedgwick, KS","528,469","2.7%","$218,535","17.7%","45"
"Kingman, KS","7,284","7.6%","$159,205","16.6%","62"
"Delta, CO","31,353","4.6%","$400,757","28.5%","57"
"Delta, TX","5,345","3.5%","$207,799","34.2%","68"
"Wise, TX","78,097","-0.4%","$380,212","35.1%","54"
"Coryell, TX","84,878","-0.9%","$223,556","26.0%","58"
"Cotton, OK","5,475","3.5%","$105,473","0.0%","58"
"Archer, TX","8,734","-1.1%","$232,412","13.7%","56"
"Throckmorton, TX","1,589","-19.9%","$141,249","0.0%","217"
"Baylor, TX","3,464","6.5%","$122,080","12.5%","81"
"McCulloch, TX","7,565","-4.1%","$137,638","18.1%","41"
"Williamson, TX","697,191","-3.3%","$430,962","37.4%","44"
"Burnet, TX","51,064","-2.5%","$440,615","28.1%","71"
"Blanco, TX","12,008","-0.9%","$611,171","19.3%","72"
"Furnas, NE","4,605","-4.8%","$142,907","34.7%","35"
"Lane, KS","1,497","13.9%","$106,949","0.0%","51"
"Gray, KS","5,696","9.4%","$227,968","21.0%","173"
"Gray, TX","21,131","-0.0%","$101,069","12.6%","43"
"Haskell, TX","5,390","-7.9%","$92,977","14.2%","74"
"Haskell, OK","11,667","1.0%","$153,094","19.3%","53"
"Haskell, KS","3,695","5.2%","$173,224","20.0%","91"
"Hardeman, TX","3,529","1.5%","$67,191","0.0%","105"
"Concho, TX","3,301","8.5%","$164,737","20.0%","81"
"Lynn, TX","5,667","-8.3%","$178,592","25.0%","59"
"Dawson, TX","12,311","6.8%","$106,858","12.5%","68"
"Hockley, TX","21,455","-3.2%","$156,793","25.6%","57"
"Cochran, TX","2,520","-6.6%","$66,694","0.0%","34"
"Webb, TX","269,148","1.2%","$208,550","21.4%","59"
"Maverick, TX","57,770","5.8%","$229,656","12.9%","100"
"El Paso, TX","869,880","1.5%","$226,549","14.4%","60"
"El Paso, CO","744,215","-0.8%","$469,323","34.9%","37"
"Pueblo, CO","169,422","0.1%","$294,821","32.2%","54"
"Boulder, CO","326,831","-1.0%","$754,808","30.1%","37"
"Park, CO","17,739","-0.0%","$545,910","29.2%","57"
"Quay, NM","8,616","7.6%","$112,366","0.0%","108"
"San Miguel, CO","8,026","1.9%","$1,483,754","8.0%","117"
"San Miguel, NM","27,036","3.7%","$239,775","11.4%","66"
"Costilla, CO","3,571","1.1%","$195,617","13.7%","100"
"Conejos, CO","7,536","-0.7%","$214,656","11.1%","67"
"Jeff Davis, TX","1,740","-5.5%","$190,261","20.5%","142"
"Rio Blanco, CO","6,518","7.0%","$316,438","20.5%","66"
"Mesa, CO","159,681","4.2%","$426,303","21.2%","44"
"Carbon, UT","20,446","4.5%","$276,135","28.0%","107"
"Montezuma, CO","26,204","2.1%","$400,383","21.6%","50"
"Grant, AR","18,111","1.7%","$210,723","18.1%","44"
"Grant, OK","4,137","-0.8%","$103,164","0.0%","52"
"Grant, LA","22,123","0.1%","$159,836","17.0%","59"
